minutes_watched,CLV,region,channel,CLV_wins,Region,Channel
285.0,19.0,2,1,19.0,Rest_of_the_world,Google
3418.0,87.47,1,6,87.47,West_EU,Instagram
564.0,144.11,1,6,144.11,West_EU,Instagram
164.0,119.0,0,6,119.0,USA/Canada/As,Instagram
76.0,16.15,2,5,16.15,Rest_of_the_world,Twitter
43972.0,46.36,2,2,46.36,Rest_of_the_world,Facebook
3247.0,64.8,2,1,64.8,Rest_of_the_world,Google
648.0,34.2,2,3,34.2,Rest_of_the_world,YouTube
1149.0,119.0,0,3,119.0,USA/Canada/As,YouTube
4810.0,62.57,2,3,62.57,Rest_of_the_world,YouTube
